Date,Open,High,Low,Close,Volume
7-Mar-16,19.11,19.73,18.77,19.17,19718790
4-Mar-16,19.45,20.32,19.06,19.36,30052498
3-Mar-16,18.53,19.44,18.48,19.31,23216471
2-Mar-16,17.85,18.74,17.72,18.54,17177413
1-Mar-16,18.47,18.48,17.59,17.85,19300408
29-Feb-16,17.96,18.57,17.78,18.12,17363991
26-Feb-16,17.72,18.03,17.50,17.94,16318614
25-Feb-16,17.93,17.95,17.31,17.59,22336855
24-Feb-16,18.00,18.09,17.11,18.00,26655122
23-Feb-16,18.56,18.96,18.10,18.30,25709890
22-Feb-16,18.62,18.68,17.76,18.30,24937307
19-Feb-16,18.16,18.88,17.77,18.31,23935666
18-Feb-16,18.10,18.55,17.52,18.43,34456628
17-Feb-16,16.47,17.60,16.43,17.46,25578556
16-Feb-16,16.09,16.40,15.67,16.36,17220953
12-Feb-16,14.54,15.94,14.53,15.88,35574264
11-Feb-16,14.07,14.79,13.91,14.31,38416732
10-Feb-16,14.55,15.28,14.52,14.98,33934131
9-Feb-16,14.62,15.54,14.31,14.40,26419689
8-Feb-16,15.51,15.55,14.73,14.90,24890059
5-Feb-16,16.61,16.64,15.62,15.72,24005787
4-Feb-16,16.40,17.18,16.29,16.91,18179660
3-Feb-16,16.33,16.74,15.55,16.56,24246385
2-Feb-16,17.22,17.27,16.01,16.08,31727127
1-Feb-16,17.89,18.77,17.30,17.91,49875496
29-Jan-16,16.64,17.07,16.51,16.80,16824172
28-Jan-16,17.21,17.34,16.45,16.49,16785267
27-Jan-16,17.01,17.62,16.77,16.78,16644336
26-Jan-16,17.22,17.28,16.40,17.01,22055783
25-Jan-16,16.80,17.45,16.51,17.02,33587750
22-Jan-16,18.29,18.56,17.73,17.84,15548544
21-Jan-16,17.44,18.32,16.80,17.83,26310354
20-Jan-16,16.16,19.04,15.48,17.38,69017691
19-Jan-16,18.18,18.18,16.43,16.69,24016992
15-Jan-16,18.23,18.53,17.61,17.94,24238369
14-Jan-16,18.55,19.16,17.27,19.00,37050143
13-Jan-16,19.70,19.76,18.47,18.68,35745880
12-Jan-16,19.87,20.41,19.32,19.62,14601306
11-Jan-16,20.12,20.20,19.26,19.65,21342126
8-Jan-16,20.51,20.72,19.60,19.98,21832259
7-Jan-16,21.00,21.48,20.20,20.26,20759757
6-Jan-16,21.62,22.18,21.18,21.39,14033627
5-Jan-16,22.79,23.00,21.85,21.92,17077655
4-Jan-16,22.64,22.84,22.11,22.56,15272743
31-Dec-15,22.17,23.28,22.15,23.14,19479440
30-Dec-15,22.45,22.94,22.21,22.23,15323698
29-Dec-15,22.63,22.82,22.31,22.47,11211058
28-Dec-15,22.90,23.32,22.50,22.53,13746540
24-Dec-15,22.70,23.06,22.55,22.97,7910740
23-Dec-15,22.68,22.95,22.37,22.67,13167600
22-Dec-15,22.26,22.67,22.09,22.56,13696232
21-Dec-15,23.02,23.04,21.99,22.14,22910612
18-Dec-15,23.35,23.44,22.66,22.99,23066199
17-Dec-15,24.47,24.75,23.29,23.31,17879207
16-Dec-15,23.96,24.48,23.80,24.30,24063311
15-Dec-15,24.52,24.69,23.70,23.95,23106575
14-Dec-15,24.68,24.94,23.70,24.92,18056237
11-Dec-15,25.91,26.20,24.80,24.84,23061261
10-Dec-15,24.36,26.25,24.34,25.91,28323889
9-Dec-15,24.98,24.98,24.19,24.31,14683738
8-Dec-15,24.04,25.10,23.54,24.99,23621785
7-Dec-15,24.99,25.16,24.13,24.46,16872129
4-Dec-15,25.81,25.85,25.01,25.02,16828165
3-Dec-15,25.48,26.06,24.91,25.90,23850709
2-Dec-15,25.31,25.72,25.17,25.40,11654936
1-Dec-15,25.39,25.58,25.00,25.53,14764130
30-Nov-15,25.78,25.82,25.06,25.40,17246252
27-Nov-15,25.98,26.07,25.67,25.75,4179367
25-Nov-15,25.62,26.41,25.59,26.06,13067044
24-Nov-15,25.17,25.55,25.02,25.52,10356351
23-Nov-15,26.11,26.27,25.02,25.20,18045709
20-Nov-15,26.32,26.70,26.03,26.27,10782883
19-Nov-15,25.94,26.58,25.93,26.32,14166823
18-Nov-15,25.17,26.09,25.16,25.90,13870934
17-Nov-15,25.54,25.69,24.90,25.23,13217032
16-Nov-15,25.33,25.78,25.00,25.41,12212153
13-Nov-15,25.89,26.16,25.16,25.18,14129761
12-Nov-15,26.08,26.61,25.85,26.13,12487188
11-Nov-15,27.08,27.14,26.37,26.50,12689955
10-Nov-15,26.81,27.17,26.25,27.05,16506775
9-Nov-15,28.07,28.21,26.68,27.09,25481511
6-Nov-15,28.58,28.70,28.05,28.28,13511474
5-Nov-15,29.47,29.55,28.45,28.66,15438828
4-Nov-15,29.36,30.15,29.23,29.36,18700364
3-Nov-15,29.09,29.63,29.04,29.13,16659884
2-Nov-15,28.54,29.29,28.05,29.20,18436663
30-Oct-15,29.13,29.57,28.35,28.46,21809385
29-Oct-15,30.58,30.70,28.93,29.06,33024457
28-Oct-15,28.13,31.34,27.76,30.87,88839840
27-Oct-15,31.02,31.87,30.65,31.34,37100857
26-Oct-15,30.63,31.22,30.48,30.89,16699236
23-Oct-15,29.97,30.72,29.61,30.28,19684212
22-Oct-15,29.24,29.80,28.74,29.15,17325447
21-Oct-15,29.50,29.66,28.65,29.30,30361504
20-Oct-15,30.94,31.39,30.41,30.91,15774630
19-Oct-15,31.15,31.60,30.57,30.91,23815515
16-Oct-15,30.08,31.40,29.36,31.15,44176849
15-Oct-15,29.46,30.28,29.01,29.71,15790417
14-Oct-15,29.46,29.82,28.38,29.38,27460063
13-Oct-15,29.55,30.68,28.84,29.06,45668157
12-Oct-15,30.30,30.77,28.60,28.75,30410162
9-Oct-15,30.90,31.41,30.28,30.85,26646459
8-Oct-15,29.57,31.50,29.03,30.32,36336731
7-Oct-15,28.35,29.95,28.01,29.83,34485074
6-Oct-15,28.16,28.40,26.75,27.62,31216096
5-Oct-15,26.99,28.25,26.33,28.15,30801175
2-Oct-15,24.50,26.48,24.34,26.31,23394736
1-Oct-15,26.47,26.84,24.65,24.68,30651736
30-Sep-15,25.94,27.33,25.88,26.94,25253305
29-Sep-15,25.23,25.76,24.92,25.59,13380915
28-Sep-15,24.96,25.61,24.60,25.26,17406307
25-Sep-15,26.84,26.91,25.14,25.29,14425518
24-Sep-15,26.51,26.64,25.40,26.60,21270013
23-Sep-15,26.97,27.28,26.58,26.79,10807286
22-Sep-15,27.05,27.48,26.62,26.83,13391312
21-Sep-15,27.98,28.09,27.19,27.38,10439089
18-Sep-15,27.04,28.25,26.99,27.96,17448234
17-Sep-15,27.54,27.93,27.03,27.41,12764449
16-Sep-15,27.14,28.00,27.00,27.75,13237233
15-Sep-15,27.04,27.55,27.00,27.17,10103197
14-Sep-15,27.21,27.55,26.80,26.90,11481480
11-Sep-15,27.63,27.65,27.17,27.39,8738561
10-Sep-15,27.07,27.83,26.95,27.71,11195157
9-Sep-15,27.17,27.85,26.42,27.18,19318330
8-Sep-15,28.15,28.20,27.01,27.18,19094807
4-Sep-15,27.95,28.55,27.80,28.15,13477155
3-Sep-15,28.03,29.00,27.81,28.30,21217229
2-Sep-15,27.47,27.82,26.87,27.82,14300716
1-Sep-15,27.23,28.12,26.77,27.03,20981383
31-Aug-15,27.64,28.49,27.35,27.79,30568615
28-Aug-15,26.19,26.93,26.06,26.83,12314248
27-Aug-15,25.44,26.80,25.24,26.46,22346998
26-Aug-15,24.80,25.29,23.83,25.03,20434430
25-Aug-15,26.29,26.33,24.38,24.38,19680627
24-Aug-15,23.61,26.23,21.01,25.17,30024259
21-Aug-15,25.65,26.74,25.51,25.87,23563519
20-Aug-15,27.15,27.48,25.92,26.00,25065228
19-Aug-15,28.06,28.09,27.16,27.61,19964006
18-Aug-15,28.91,29.00,28.30,28.30,9662803
17-Aug-15,29.19,29.34,28.93,29.06,9557303
14-Aug-15,28.50,29.27,28.45,29.06,16716347
13-Aug-15,29.60,29.60,28.44,28.54,15003972
12-Aug-15,29.11,29.50,28.51,29.39,18582876
11-Aug-15,29.01,29.89,28.53,29.62,27827588
10-Aug-15,28.09,29.63,27.82,29.50,42547095
7-Aug-15,27.80,27.90,26.87,27.04,18392551
6-Aug-15,28.40,28.43,27.23,27.54,27612162
5-Aug-15,29.41,29.50,28.43,28.48,21223283
4-Aug-15,29.11,29.90,28.90,29.34,21900293
